k,extremum_index,b,relative_error
0,0,0.08,-1.4906254008906217e-10
0,1,0.0812446712537511,1.4906209599985232e-10
0,2,0.0848892602771687,-1.490627621336671e-10
0,3,0.0906378917370985,1.4906209599985232e-10
0,4,0.0979166626773272,-1.4906254008906217e-10
0,5,0.1057995200023979,1.4906209599985232e-10
0,6,0.1130151289546908,-1.4906265111136463e-10
0,7,0.1181389686469815,1.490618739552474e-10
0,8,0.12,-1.4906254008906217e-10
1,0,0.08,-2.460626813416411e-09
1,1,0.0816067128694239,2.4606259252379914e-09
1,2,0.0862795286885006,-2.460626813416411e-09
1,3,0.0935158863926188,2.4606259252379914e-09
1,4,0.1023073137245549,-2.4606267023941086e-09
1,5,0.1110208714103677,2.4606259252379914e-09
1,6,0.1175566193334407,-2.460626813416411e-09
1,7,0.12,2.4606259252379914e-09
2,0,0.08,-4.0486410668449935e-08
2,1,0.082152399859645,4.048640955822691e-08
2,2,0.0883481083263999,-4.048641044640533e-08
2,3,0.0976530098357649,4.048640955822691e-08
2,4,0.1081145835133563,-4.048641044640533e-08
2,5,0.116657070921482,4.0486409780271515e-08
2,6,0.12,-4.048641055742763e-08
3,0,0.08,-6.653545976398334e-07
3,1,0.0830308195838424,6.653545983059672e-07
3,2,0.0916078644919992,-6.65354597861878e-07
3,3,0.1037515881505444,6.653545983059672e-07
3,4,0.1151707244838287,-6.653545977508557e-07
3,5,0.12,6.653545980839226e-07
4,0,0.08,-1.0928192707426732e-05
4,1,0.084579429510894,1.0928192706316509e-05
4,2,0.0971246948572421,-1.092819270731571e-05
4,3,0.1124915528340683,1.0928192706760598e-05
4,4,0.12,-1.092819270731571e-05
5,0,0.08,-0.00017943334945280665
5,1,0.0877041578405801,0.00017943334945247358
5,2,0.1071271588189222,-0.00017943334945247358
5,3,0.12,0.00017943334945269562
6,0,0.08,-0.0029432194817885504
6,1,0.0955877970017438,0.0029432194817884394
6,2,0.12,-0.0029432194817885504
7,0,0.08,-0.04597982225345909
7,1,0.12,0.04597982225345976
8,0,0.08,-0.43004993059208474
