original_or_possible_claim,decision,reason,replacement_wording
We introduce pole-aware or rationally exact quadrature.,DROP,Established at least since Gautschi's rational Gauss-type rules.,We build on the established principle that quadrature can exploit known pole structure.
Positive moment-matching quadrature is new.,DROP,"Positive exact formulas, moment-space theory, and optimization-based moment matching are established.",Positivity and moment matching define the admissible class; they are not claimed separately as novel.
The generic existence of an exactness hierarchy ending in a Gaussian rule is new.,DROP AS NOVELTY,Generalized Gaussian/Chebyshev-system and moment-space theory already contains positive exactness hierarchies.,"Within the proposed Stieltjes minimax model, we characterize the feasible range and use Gauss-Legendre as the organizing endpoint."
Constrained rational minimax is new.,DROP,Interpolation- and derivative-constrained rational minimax is established.,Our moment conditions are a specialized constraint pattern combined with positivity and a quadrature realization.
The alternation principle is new.,DROP AS GENERAL CLAIM,Equioscillation is classical in rational minimax approximation.,We give a short class-specific degree/zero-count certificate with count 2n-k+1.
dim A_nk=2n-k is a headline novelty.,KEEP AS STRUCTURAL THEOREM,"Useful and proved, but close to standard moment-map dimension counting and should not carry the novelty claim alone.",We record the feasible-range/dimension characterization needed to organize the minimax path.
k=2n equals Gauss-Legendre is a new discovery.,KEEP AS ORGANIZING CONNECTION,The Gaussian endpoint follows standard transformed-measure quadrature theory.,"The maximal moment level recovers Gauss-Legendre, placing the structural design and the classical rule in one admissible family."
The coefficient-box norm formula is a major new theorem.,KEEP AS EXACT LEMMA,It is an elementary duality/sign-alignment identity.,The exact norm is used to derive the practically distinctive mixed structural/smooth selector.
Primary contribution: combined positive Stieltjes minimax path plus exact selector and validated map.,KEEP AS PRIMARY,"The targeted search found no direct source combining positivity, continuum Lorentzian minimax, variable moment depth, exact mixed selector, and validated parameter partition.","To the best of our targeted literature search, the distinguishing contribution is this combined model-aware framework; no first-ever claim is made."
No previous work is equivalent.,DO NOT ASSERT,A targeted search cannot prove absence across the complete literature.,We did not identify a direct match in the targeted sources; specialist prior-art review remains necessary.
