n,k,segment_index,left,right,expected_derivative_sign,certified,visited,leaves,max_depth,minimum_signed_margin
2,3,0,0.08,0.12,1,True,5,3,2,0.7967214733362198
3,4,0,0.08,0.096316411327406501321140666597555987315895667454177,1,True,193,97,14,2.5946442292479333e-05
3,4,1,0.096336411327406501321140666597555987315895667454177,0.12,-1,True,215,108,15,1.1718663699866738e-05
3,5,0,0.08,0.12,1,True,11,6,3,0.5764073822647333
4,5,0,0.08,0.087694157840579867482413126829139399494985279816759,1,True,1257,629,16,1.865639433162869e-06
4,5,1,0.087714157840579867482413126829139399494985279816759,0.10711715881892533051398668551050991435516272867748,-1,True,3579,1790,18,7.55312044020684e-08
4,5,2,0.10713715881892533051398668551050991435516272867748,0.12,1,True,1861,931,17,5.189632474866812e-07
4,6,0,0.08,0.09557779700174389495530816619915351259059495155324,1,True,275,138,15,1.590639749338152e-05
4,6,1,0.09559779700174389495530816619915351259059495155324,0.12,-1,True,319,160,15,1.0154138635698473e-05
4,7,0,0.08,0.12,1,True,21,11,4,0.18653403501957655
