node_pairs_n,matched_moments_k,polynomial_exactness_degree,effective_free_parameters,expected_alternation_points,observed_extremal_points,worst_relative_error,minimum_pair_weight,sum_pair_weights,maximum_moment_residual,maximum_remez_residual,empirical_lower_half_extrapolation,relative_deviation_from_extrapolation,source
2,0,-1,4,5,5,2.370867061683233e-05,0.0873215152125034,0.47960284371086864,0.0,6.550401555281271e-70,2.3793919200151556e-05,-0.0035827886361269323,Round-27 lower-half rule
2,1,1,3,4,4,0.0003923368937989,0.1233768571419336,0.9999999999999999,1.1102230246251565e-16,2.3817601468806534e-54,0.0003917655395944649,0.0014584085293121163,Round-27 lower-half rule
2,2,3,2,3,3,0.0064601602290408,0.2103464450419144,1.0,5.551115123125783e-17,1.0714332267591102e-57,0.006450397545805091,0.0015135010154618822,Round-27 lower-half rule
2,3,5,1,2,2,0.1050058673655009,0.48154391984969147,1.0,8.326672684688674e-17,3.304050563076899e-15,0.10620543231545677,-0.011294760765088396,Round-43 upper-half solve
2,4,7,0,1,2,0.688197332678553,0.34785484513745357,1.0,1.6653345369377348e-16,,1.748666461751426,-0.6064444834212297,Gauss-Legendre endpoint
3,0,-1,6,7,7,5.945927845268444e-08,0.0536744394963367,0.6320442744081467,0.0,3.1731043567110113e-69,5.957061392229496e-08,-0.0018689662952902086,Round-27 lower-half rule
3,1,1,5,6,6,9.826042255242402e-07,0.064669812940323,1.0,0.0,1.3278152532212474e-59,9.808268033074928e-07,0.0018121672559860968,Round-27 lower-half rule
3,2,3,4,5,5,1.6173575839220873e-05,0.0816026779177141,1.0,0.0,1.9286425591040719e-69,1.6149258077838076e-05,0.0015058129150942179,Round-27 lower-half rule
3,3,5,3,4,4,0.0002658420008321,0.1111279169319909,0.9999999999999998,2.220446049250313e-16,6.270461906270792e-69,0.00026589662475083993,-0.00020543291510799477,Round-27 lower-half rule
3,4,7,2,3,3,0.004365404472745892,0.17339308201806053,1.0,5.551115123125783e-17,5.622923909644478e-14,0.004377972951643723,-0.0028708443466084477,Round-43 upper-half solve
3,5,9,1,2,2,0.06980804604156127,0.22826762142255844,0.9999999999999999,1.6653345369377348e-16,8.7471673849787e-15,0.07208307808827688,-0.03156124997783094,Round-43 upper-half solve
3,6,11,0,1,2,0.5494840599678923,0.17132449237917027,1.0,1.1102230246251565e-16,,1.1868438211181227,-0.5370207518540858,Gauss-Legendre endpoint
4,0,-1,8,9,9,1.4906230748933158e-10,0.0391471007103216,0.7423883133247134,0.0,4.5881140827617696e-69,1.4914138411701924e-10,-0.0005302125104700295,Round-27 lower-half rule
4,1,1,7,8,8,2.4606263539088863e-09,0.0445278479758417,0.9999999999999998,2.220446049250313e-16,3.3955311797543155e-69,2.4556044900790127e-09,0.0020450621629675148,Round-27 lower-half rule
4,2,3,6,7,7,4.048641009537743e-08,0.0516702731610519,0.9999999999999998,2.220446049250313e-16,4.214366989183759e-69,4.043138963337606e-08,0.0013608352940694957,Round-27 lower-half rule
4,3,5,5,6,6,6.653545980331275e-07,0.0616460888792741,0.9999999999999999,1.1102230246251565e-16,1.3901078962378962e-54,6.65700553281392e-07,-0.0005196859857772296,Round-27 lower-half rule
4,4,7,4,5,5,1.0928192707088406e-05,0.0765950591467684,1.0,2.7755575615628914e-17,1.0760606135612314e-67,1.0960722118572092e-05,-0.0029678164569619803,Round-27 lower-half rule
4,5,9,3,4,4,0.0001794333494525069,0.10140746149902914,1.0,5.551115123125783e-17,2.2893018458041524e-12,0.00018046767239169372,-0.005731347478909687,Round-43 upper-half solve
4,6,11,2,3,3,0.0029432194817884862,0.14901076054750145,0.9999999999999999,1.1102230246251565e-16,5.952905386695478e-14,0.002971390062274342,-0.009480606684231008,Round-43 upper-half solve
4,7,13,1,2,2,0.04597982225345947,0.12619367936196554,1.0,5.551115123125783e-17,1.358205449140604e-15,0.0489237700313416,-0.06017418068959468,Round-43 upper-half solve
4,8,15,0,1,2,0.4300499305920852,0.10122853629037706,1.0,6.106226635438361e-16,,0.8055271182564144,-0.4661260672105738,Gauss-Legendre endpoint
