k,lower,upper,relative_width,witness_b,split_count
0,5.556179358048932e-09,5.556179358847254e-09,1.4368181512819463e-10,0.08,93527
1,9.171779267838558e-08,9.171779267918392e-08,8.704328400885273e-12,0.08,23493
2,1.5090968806605995e-06,1.5090968806613983e-06,5.2929144543136e-13,0.08,5723
3,2.4800532749667196e-05,2.480053274967997e-05,5.150396152181955e-13,0.08,1395
4,0.0004073391873951651,0.00040733918739536837,4.990629765847198e-13,0.08,370
5,0.006688227112536677,0.006688227112539822,4.702372705093609e-13,0.08,101
6,0.10970602954412587,0.1097060295441684,3.877218035116543e-13,0.08,40
7,1.713859183721789,1.7138591837233423,9.063895510260817e-13,0.08,22
8,16.029749287443313,16.029749287454337,6.877256997371451e-13,0.08,19
