matched_moments_k,extremum_index,s,b,relative_error
0,0,0.0064,0.08,-1.4906231804445724e-10
0,1,0.006600696608077806,0.08124467125958358,1.4906231804445724e-10
0,2,0.007206186513328714,0.08488926029439009,-1.4906231804445724e-10
0,3,0.00821522740578841,0.09063789166672187,1.4906209599985232e-10
0,4,0.009587672835677855,0.09791666270700741,-1.4906220702215478e-10
0,5,0.01119353842800448,0.10579951998002865,1.4906231804445724e-10
0,6,0.012772419375037047,0.11301512896527194,-1.4906220702215478e-10
0,7,0.013956815909153288,0.11813896863081753,1.4906254008906217e-10
0,8,0.0144,0.12,-1.4906220702215478e-10
1,0,0.0064,0.08,-2.4606264803495037e-09
1,1,0.00665965558539548,0.08160671286968664,2.4606261472825963e-09
1,2,0.007444157070336957,0.08627952868633994,-2.4606263693272012e-09
1,3,0.008745221007122559,0.09351588638901177,2.4606261472825963e-09
1,4,0.010466786440871578,0.10230731372131505,-2.4606262583048988e-09
1,5,0.01232563388654086,0.11102087140056531,2.4606263693272012e-09
1,6,0.013819558749397746,0.11755661933467526,-2.460626591371806e-09
1,7,0.0144,0.12,2.4606263693272012e-09
2,0,0.0064,0.08,-4.048641033538303e-08
2,1,0.006749016802699024,0.08215239985964515,4.048641044640533e-08
2,2,0.0078053882448591416,0.08834810832643301,-4.0486410224360725e-08
2,3,0.0095361103300784,0.09765300983624826,4.0486410224360725e-08
2,4,0.011688763168273032,0.10811458351338654,-4.048641000231612e-08
2,5,0.013608872196009036,0.11665707092160782,4.0486410224360725e-08
2,6,0.0144,0.12,-4.048641011333842e-08
3,0,0.0064,0.08,-6.653545979729003e-07
3,1,0.006894117000764066,0.08303081958383926,6.65354597861878e-07
3,2,0.00839200083678672,0.09160786449201139,-6.653545980839226e-07
3,3,0.01076439204376869,0.10375158815058538,6.653545980839226e-07
3,4,0.013264295778127806,0.11517072448381926,-6.653545979729003e-07
3,5,0.0144,0.12,6.65354597861878e-07
4,0,0.0064,0.08,-1.0928192706982642e-05
4,1,0.007153679896387972,0.08457942951089215,1.0928192706982642e-05
4,2,0.009433206351112552,0.09712469485724293,-1.092819270731571e-05
4,3,0.012654349459020544,0.11249155283407081,1.0928192707204687e-05
4,4,0.0144,0.12,-1.0928192706982642e-05
