matched_moments_k,moment_degree_y,nominally_constrained,approximate_moment,target_moment,absolute_residual
0,0,False,0.7423883133247136,1.0,0.25761168667528644
0,1,False,0.08504189653223738,0.3333333333333333,0.24829143680109594
0,2,False,0.012804073281532281,0.2,0.18719592671846774
0,3,False,0.001973793044871072,0.14285714285714285,0.14088334981227177
0,4,False,0.00030512852713907067,0.1111111111111111,0.11080598258397203
0,5,False,4.7186817145789556e-05,0.09090909090909091,0.09086190409194513
0,6,False,7.29757931467129e-06,0.07692307692307693,0.07691577934376226
0,7,False,1.1285988236523462e-06,0.06666666666666667,0.06666553806784302
0,8,False,1.7454230384568774e-07,0.058823529411764705,0.05882335486946086
1,0,True,1.0,1.0,0.0
1,1,False,0.24562377729397827,0.3333333333333333,0.08770955603935504
1,2,False,0.08052056368840638,0.2,0.11947943631159363
1,3,False,0.026947273428622867,0.14285714285714285,0.11590986942851998
1,4,False,0.009035540858026663,0.1111111111111111,0.10207557025308445
1,5,False,0.003030217965422526,0.09090909090909091,0.08787887294366839
1,6,False,0.0010162520146523625,0.07692307692307693,0.07590682490842457
1,7,False,0.00034082365962055254,0.06666666666666667,0.06632584300704611
1,8,False,0.00011430313077973686,0.058823529411764705,0.05870922628098497
2,0,True,1.0,1.0,0.0
2,1,True,0.3333333333333333,0.3333333333333333,0.0
2,2,False,0.17229597840945265,0.2,0.027704021590547356
2,3,False,0.09299476234512644,0.14285714285714285,0.04986238051201641
2,4,False,0.05043362540906769,0.1111111111111111,0.06067748570204341
2,5,False,0.027366217132877308,0.09090909090909091,0.06354287377621361
2,6,False,0.014850309284432784,0.07692307692307693,0.062072767638644145
2,7,False,0.008058591963036746,0.06666666666666667,0.05860807470362992
2,8,False,0.004373037121604974,0.058823529411764705,0.05445049229015973
3,0,True,1.0,1.0,0.0
3,1,True,0.3333333333333333,0.3333333333333333,0.0
3,2,True,0.19999999999999998,0.2,2.7755575615628914e-17
3,3,False,0.13425250245573553,0.14285714285714285,0.00860464040140732
3,4,False,0.09207356309737116,0.1111111111111111,0.01903754801373994
3,5,False,0.06339484054018428,0.09090909090909091,0.02751425036890663
3,6,False,0.04367991378251419,0.07692307692307693,0.033243163140562734
3,7,False,0.030099925150238106,0.06666666666666667,0.03656674151642856
3,8,False,0.02074240589868018,0.058823529411764705,0.03808112351308453
4,0,True,1.0,1.0,0.0
4,1,True,0.33333333333333337,0.3333333333333333,5.551115123125783e-17
4,2,True,0.19999999999999998,0.2,2.7755575615628914e-17
4,3,True,0.14285714285714285,0.14285714285714285,0.0
4,4,False,0.10845725253763258,0.1111111111111111,0.0026538585734785236
4,5,False,0.08395732862522148,0.09090909090909091,0.006951762283869428
4,6,False,0.0653774643584605,0.07692307692307693,0.011545612564616434
4,7,False,0.05099964196510487,0.06666666666666667,0.015667024701561796
4,8,False,0.03980480991140063,0.058823529411764705,0.019018719500364073
