matched_moments_k,rho,transfer_lower,transfer_upper,tail_width
0,1.05,6.683899333626912,6.683899335399286,1.772374247366315e-09
0,1.1,3.3211641776628733,3.3211641776628733,0.0
0,1.25,1.4494669105859295,1.4494669105859295,0.0
0,1.5,0.9112419457658265,0.9112419457658265,0.0
0,2.0,0.6754902351468184,0.6754902351468184,0.0
0,3.0,0.5748889485790211,0.5748889485790211,0.0
0,5.0,0.5351167403189351,0.5351167403189351,0.0
1,1.05,8.126060078296353,8.126060080330772,2.0344188556009613e-09
1,1.1,3.630329945985313,3.630329945985313,0.0
1,1.25,1.0936349131577288,1.0936349131577288,0.0
1,1.5,0.3954653992164316,0.3954653992164316,0.0
1,2.0,0.1374797547779099,0.1374797547779099,0.0
1,3.0,0.04660164980002789,0.04660164980002789,0.0
1,5.0,0.014905748073954011,0.014905748073954011,0.0
2,1.05,6.75587951354827,6.755879515582689,2.0344188556009613e-09
2,1.1,2.9071055854084826,2.9071055854084826,0.0
2,1.25,0.7563130467682216,0.7563130467682216,0.0
2,1.5,0.20465696470501632,0.20465696470501632,0.0
2,2.0,0.04151356351298401,0.04151356351298401,0.0
2,3.0,0.006389129774268324,0.006389129774268324,0.0
2,5.0,0.000746221868694174,0.000746221868694174,0.0
3,1.05,5.52349372700543,5.523493729039849,2.0344188556009613e-09
3,1.1,2.214827024851245,2.214827024851245,0.0
3,1.25,0.47015744715432345,0.47015744715432345,0.0
3,1.5,0.09598563744829994,0.09598563744829994,0.0
3,2.0,0.011844854355362547,0.011844854355362547,0.0
3,3.0,0.0008495162718562797,0.0008495162718562797,0.0
3,5.0,3.6576476994269065e-05,3.6576476994269065e-05,0.0
4,1.05,4.681030201337721,4.68103020337214,2.0344188556009613e-09
4,1.1,1.6901757140168523,1.6901757140168523,0.0
4,1.25,0.296051588781036,0.296051588781036,0.0
4,1.5,0.04492424459044736,0.04492424459044736,0.0
4,2.0,0.003336849293787681,0.003336849293787681,0.0
4,3.0,0.00011179363245490711,0.00011179363245490711,0.0
4,5.0,1.7784203134475623e-06,1.7784203134475623e-06,0.0
